distfe,wave,length,expectedlength
23-46,64,100713.36713750451,29612.871729532962
23-46,68,372325.2880117895,373502.0686134943
23-47,61,50920.63570628276,33289.876978584354
23-47,64,66564.75914507697,30750.92127457981
23-47,68,195088.85103907017,248533.44763726572
23-48,61,47076.60204620636,16465.101730628685
23-48,64,86985.80637278492,13575.102536928733
23-48,68,69759.69239036941,138279.8431699546
23-49,61,24983.88698559214,71170.77394341934
23-49,68,633140.468008118,523172.8779870698
23-5,61,6092.588822408532,11619.63242790497
23-5,64,45062.29700553355,10678.993856372297
23-5,68,59635.04510321407,88491.30464687887
23-50,64,39544.39113560388,22715.75008765321
23-50,68,189306.23238168115,181193.78007622305
23-6,61,49446.150230405285,30579.648024049184
23-6,64,68423.63323458897,27110.556579409193
23-6,68,161314.16127180835,221493.74013334425
23-7,61,24100.60450953413,35994.95922432404
23-7,64,84778.49312215015,32316.784382669437
23-7,68,220690.81717217897,261258.17119686984
23-8,61,49171.993895540036,24000.304069347174
23-8,64,68811.55358791244,20121.748302623684
23-8,68,199359.36419078457,251242.87500668128
23-9,61,25189.72441663371,51675.96453632402
23-9,64,28931.384817735427,46415.05977169222
23-9,68,415276.08462680125,371306.1695531543
24-1,61,75836.67309368224,95631.98579619401
24-1,64,206823.78389634425,136205.1725791407
24-10,61,155745.91512449924,70164.05698020928
24-10,64,53745.11692605289,102109.17106437632
24-11,61,19571.616964834757,7957.948523261985
24-11,64,3027.0987709888786,10763.205512271581
24-12,61,24813.568623069943,15612.258311074762
24-12,64,17721.294904688308,21961.334920789024
24-12,68,3415.206904491751,8376.477200386209
24-13,61,30685.48450238802,64971.97520278648
24-13,64,99674.27176691897,91732.96477041997
24-13,68,60452.95834577407,34107.77464187462
24-14,61,30661.365770710465,34286.476829669075
24-14,64,46310.78458683352,47903.20064311702
24-14,68,22926.647903827354,17709.120788585235
24-15,61,1118.0596834433259,41240.9824421849
24-15,64,71340.59540766005,58522.06971627767
24-15,68,49434.66104378854,22130.263976429338
24-16,61,2255.9088262454857,52929.021657685866
24-16,64,147138.8417361221,75733.44630965141
24-16,68,7929.925563405951,28662.20815843632
24-17,61,3599.9773400503113,29201.98671264405
24-17,64,19702.423640569243,40332.44731920354
24-17,68,61743.43131154257,15511.398260314521
24-18,61,1019.5080043251376,25033.201681441988
24-18,64,35812.91130674177,37438.80130491288
24-18,68,55187.050074921906,8929.88317759622
24-19,61,54732.365634725276,67314.43145238614
24-19,64,137391.13396223434,94012.84255374904
24-19,68,27192.543912475627,22447.476347077816
24-2,61,27776.546091398828,61009.67627693519
24-2,64,29607.954392689633,86268.91019600758
24-2,68,121671.44853901769,31777.362550163387
24-20,61,54590.83808735698,35486.127920776285
24-20,64,32542.15707077725,50374.78908478991
24-20,68,17774.452784830497,19046.530937398526
24-21,61,13746.498368061573,42100.498228463934
24-21,64,58030.45240320148,60662.224649451615
24-21,68,53235.37257182653,22249.600465174044
24-22,61,5553.457649904293,14619.57631618395
24-22,64,15802.018989242812,20249.294769582928
24-22,68,21356.898615707192,7843.504169087421
24-23,61,35584.72426969929,38936.95892969027
24-23,64,69237.23104839493,56407.86932438845
24-23,68,10984.817325759996,20461.94438977549
24-24,61,4743.494584910506,58249.97568430098
24-24,64,41232.81594650687,83021.42812002751
24-24,68,126506.30779200546,31211.21451909434
24-25,61,10293.75690062623,79055.1543639113
24-25,64,133512.77245750563,111450.02516143258
24-25,68,88361.53120167882,41662.8810344668
24-26,61,4080.880089282964,24522.112219442337
24-26,64,61066.78259968718,35230.1224648277
24-26,68,13445.577160105413,8027.872444465005
24-3,61,21524.49879213707,12818.721014227232
24-3,64,642.7884329339331,18914.318249177555
24-3,68,16142.715962528935,6576.963924195151
24-4,61,25583.768652053273,10369.122900633976
24-4,64,4633.445734558468,14328.346825699506
24-5,61,3760.2401673175746,121012.74546475752
24-5,64,289386.61081350344,173614.43014614002
24-5,68,65382.166151517,63901.84152144057
24-6,61,21661.85008751082,15726.178126704994
24-6,64,6803.683617671983,22617.699969329733
24-6,68,18490.475796654788,8612.131405802864
24-7,61,23664.06121972821,81267.02754952028
24-7,64,171428.2640510655,115270.84826660651
24-7,68,44684.01977691562,43238.46923158253
24-8,61,66734.44675520921,45699.518972140235
24-8,64,65113.26350414972,64619.010287754565
24-8,68,2518.163760399811,24047.344759863954
24-9,61,24719.22795313314,11827.224975209023
24-9,64,10245.564263774715,16744.461077701668
26-1,64,1315.8375141624722,645.18758434302
27-1,68,109210.70633378587,57548.66573813099
27-10,61,1281.7924342086403,211.4678637652244
27-10,68,9713.169612991742,10341.673286539402
27-11,68,236120.20106278674,223593.59133681565
27-12,64,7039.69364539085,9470.882132278262
27-12,68,281705.1517206221,273517.5310305421
27-13,64,54352.509497207924,3461.5031914258943
27-13,68,46733.0996429547,95646.6774082786
27-14,68,233009.18402382734,220788.83541498522
27-15,64,2519.0555159975165,7456.666185416355
27-15,68,249731.19791395505,221696.4924249618
27-16,64,10835.514646181691,3613.6508208398727
27-16,68,97042.80143429727,101985.79114815965
27-17,64,21551.729264934835,1748.4704587895444
27-17,68,30056.906672606303,48847.561481598685
27-18,64,1050.9956054727927,8970.387961124361
27-18,68,263677.5829494542,250601.8973698758
27-19,61,8909.968165736056,3964.062968789696
27-19,68,196347.61808452843,194900.5713063312
27-2,64,11324.840443230922,6522.83359897885
27-2,68,267646.16961307754,222184.97663548333
27-20,64,64.96281938534258,6185.522861243511
27-20,68,264801.0715042351,211453.95453009984
27-21,61,11077.977307641904,1752.6125251035003
27-21,64,51311.66088820578,2551.7270055836884
27-21,68,22097.840902384596,80183.13956754509
27-24,68,93497.31209485643,88742.57698154848
27-25,64,27589.150178748823,11885.733897939801
27-25,68,343072.5888772318,351376.82680910715
27-26,64,41825.82349163898,9281.642523177305
27-26,68,255821.61185833806,282686.7450689246
27-27,61,1672.922330636007,5071.172223561419
27-27,64,2196.750858026673,8241.227638122315
27-27,68,254586.5004280831,245143.77375506205
27-28,61,2267.010110563782,3686.28723394249
27-28,68,169639.26456893445,162928.08723803615
27-29,61,2294.297241744973,57.77389335758966
27-29,68,625.6946749308408,2783.7954547849295
27-3,61,4523.777322124901,5359.148482914569
27-3,64,2839.4414869105103,9007.653354076858
27-3,68,263416.88932097034,256413.30629301432
27-30,64,5607.779999888409,14077.461035590495
27-30,68,442225.9922424221,425011.5806767088
27-31,68,285034.14333112614,270116.815745595
27-32,68,104508.86181058589,99111.15635664821
27-33,68,90322.68425888878,85757.66606376493
27-34,68,168447.8687961549,159835.11183585174
27-35,68,186910.46328189856,176943.8312547986
27-4,61,2592.881895143057,3078.693104478347
27-4,68,159691.91243281757,153834.6682351897
27-5,68,168774.7861815821,159589.93734874183
27-6,64,1202.7787313246292,4158.382764744281
27-6,68,135356.64116708856,129723.05566961068
27-7,64,515.5661658358265,3170.1448932661615
27-7,68,105338.86859789054,56000.38395382935
27-8,64,26870.53831453395,698.2568970445924
27-9,61,17215.839572007775,843.0401953271221
27-9,68,21489.80613533302,36638.83098976762
28-1,61,22315.308849105924,30392.552447064205
28-1,64,11210.33240583052,7273.7256188361025
28-1,68,7325.733339212093,3185.096528248228
28-10,61,17653.43876076952,43515.73921807502
28-10,64,11062.026451647855,17693.309890134366
28-10,68,118370.88984846092,20169.813025980577
28-11,61,253800.55166644717,402093.2986059814
28-11,64,319023.84068475687,153466.6797623137
28-11,68,134676.20305289907,151940.61703580825
28-12,61,171708.4755822217,229678.69785654094
28-12,64,129437.96361729898,87820.02185517912
28-12,68,103365.2216093449,87012.94109714549
28-13,61,226527.85963342688,314945.5480837274
28-13,64,180398.13603820343,119530.95729737448
28-13,68,145734.61716397654,118184.10745450489
28-14,61,382954.4917574934,455167.67401411186
28-14,64,294610.9378586556,171530.3562057213
28-14,68,121142.21206955264,172009.61146586834
28-15,61,292732.61021529674,314554.45483483677
28-15,64,131967.16215317114,120383.41640216552
28-15,68,129904.98765837126,119666.88878983678
28-16,61,274555.14149292314,180073.51999686862
28-16,64,191025.4840466773,100576.28119959604
28-16,68,146996.6231690921,113879.076617062
28-17,61,360416.6634527359,488211.25706663594
28-17,64,348118.1148388674,185126.31113435738
28-17,68,148286.61835116203,183483.82844177185
28-18,61,334680.1472687767,439051.12931625865
28-18,64,270592.773879428,166730.89694197846
28-18,68,168552.5598099194,168043.45469988696
28-19,61,318705.09450511646,401195.040651979
28-19,64,204871.23175617406,152104.12995862545
28-19,68,182789.2860902007,153066.44174088677
28-2,61,2149.6370358687495,4129.535867258943
28-2,64,3501.3844049078143,894.7836103535599
28-2,68,114.81963919275307,436.10250559283446
28-20,61,212243.4868836329,380900.97227237583
28-20,64,295103.21489340626,143994.2024945592
28-20,68,161018.2311332115,143469.75814331547
28-21,61,183185.52136782187,318009.14026585605
28-21,64,234112.6016689003,118842.7817263505
28-21,68,139819.90544760937,120266.106492125
28-22,61,384250.608008955,649082.4890975376
28-22,64,527869.9923959266,246943.38692981118
28-22,68,230757.3746840103,246852.0990615433
28-23,61,348684.41668578685,376163.2372033126
28-23,64,271148.64194045664,93508.56704330198
28-23,68,226480.06984400417,180710.07427980623
28-3,61,19169.97094345688,40583.84631871326
28-3,64,33314.96007539983,9463.850027362896
28-3,68,2149.6981315705843,4586.932804351143
28-4,61,128176.9274653017,113981.0848308017
28-4,64,14734.196913765503,27596.24072767322
28-4,68,11156.551657566895,12490.350478159166
28-6,61,1756.1427143979456,12022.076775029424
28-6,64,11245.19193911693,2878.946064486166
28-6,68,3182.8869662565644,1283.198780255851
28-7,61,35678.40544995118,58939.313868571546
28-7,64,26204.31896793304,14429.399062631896
28-7,68,17955.87727380571,6469.8887604864785
28-8,61,121790.90019288067,127280.25481576123
28-8,64,38437.79070271305,30047.502131996764
28-8,68,10896.768747047947,13797.702694883674
28-9,61,14465.01297805426,23526.57746201718
28-9,64,8005.574362624104,5551.742512834163
28-9,68,9211.074954518044,2603.342320345063
29-1,68,52.75241054809025,49.7982755573972
29-10,61,9995.808716994676,6937.537034929312
29-10,64,4760.533626581455,3435.8551822410604
29-14,61,13837.068805423361,13002.260362949899
29-14,64,5499.8988538862,5750.19366609927
29-14,68,6901.065885494929,7485.579515755322
29-15,61,20333.422816696395,25006.823540373356
29-15,64,9586.733072083765,11303.314672569944
29-15,68,20691.247359622987,14301.26503545985
29-17,61,7167.243453962372,2129.610438186995
29-17,64,73.87459916820234,1272.947528160996
29-27,61,647.6790226159173,606.481639373069
29-27,64,607.1043908766183,520.8645464349044
29-27,68,409.6971933541814,213.4141779805133
29-3,68,53.714583602342344,50.33056483539478
29-30,64,266.7193554803153,228.0450489356696
29-4,61,11799.102891139668,5738.82905342058
29-4,68,1854.5667740466984,4014.8639432841883
29-6,61,14698.744955173857,15447.426483445888
29-6,64,1022.6862681538273,7306.659286270067
29-6,68,15700.970053165882,8668.315506777613
29-8,61,11996.014079036018,21285.710857538812
29-8,64,30017.758818071037,9093.284172560665
3-1,61,1765.722099701197,565.0310719043833
3-10,61,32371.658743048978,35908.183914393114
3-10,64,5941.3755526770865,1213.7403751777276
3-12,61,6065.515645270998,12787.661196308942
3-12,68,7503.291096401098,355.5598326650573
3-19,61,2945.4947011868694,2768.765019115657
3-9,61,99.23472313559368,1082.0687655714144
3-9,64,1057.7034403808736,37.9466114356616
32-1,64,27760.45321242767,46940.68446810602
32-1,68,64900.82439384241,41679.70115468923
32-10,64,28513.414858830416,24463.767795348318
32-10,68,19634.503536151435,21636.73671443746
32-11,61,8814.79610435713,1103.2737070419766
32-11,64,15397.738216547818,12323.55216040748
32-12,64,39036.01705814728,40931.67129970668
32-12,68,41140.38000041667,35752.57493368465
32-13,64,41166.59262594239,24912.90672791176
32-13,68,7939.390066615975,21990.661522408533
32-14,61,3446.019448642646,6170.208184726844
32-14,64,75731.58710837287,45401.63183417648
32-14,68,86388.01396593447,74247.64388357566
32-2,64,68981.39568498466,98186.40491023284
32-2,68,124590.53909679502,87199.51010690213
32-3,64,42189.48336422216,33222.4614424754
32-3,68,23619.37769223159,29955.805404698374
32-4,61,4948.473774590668,6764.357408875312
32-4,64,83376.67600399072,84102.6252850416
32-4,68,76260.70913245695,73718.87621712143
32-5,61,3712.4434284398144,6837.092268958686
32-5,64,78824.13710516576,83302.10201719379
32-5,68,81307.90774128403,73705.29398873718
32-6,61,6193.1024031563275,1693.402453665755
32-6,64,23903.56784201579,19902.632795485508
32-6,68,8724.95315020986,17225.58814623071
32-7,61,9565.520977688397,5413.3764523304335
32-7,64,43607.45668288907,63127.63583260164
32-7,68,71299.72454227657,55931.68991792194
32-8,64,21614.5287616973,12967.402055804307
32-8,68,4065.8137170665736,11632.499135085001
32-9,64,36007.575877121955,47644.084595528424
32-9,68,58508.83124401445,42833.84245886107
33-1,61,11049.648647224962,13423.720246044684
33-1,64,138768.48594018735,72885.78845974889
33-1,68,3422.6578824170692,1960.0095152600998
33-10,61,2693.1889278949548,27774.851475665986
33-10,64,188702.03476642113,105786.61173506494
33-11,61,25737.987306937448,23753.74790565677
33-11,64,130787.6863150495,132771.92571633018
33-12,61,34396.37479091141,26269.010871049803
33-12,64,139454.84861427415,147582.21253413576
33-13,61,39119.28081044448,34149.02753746291
33-13,64,189916.09832062232,194886.35159360387
33-14,61,10678.948559487893,13518.894180017787
33-14,64,81115.95346421334,78276.00784368344
33-15,61,17479.876551826663,21254.20568607778
33-15,64,125406.03069393779,121631.70155968665
33-16,61,36561.523244108736,40136.74686033701
33-16,64,228171.62845104872,224596.40483482042
33-17,61,26132.339951861475,30743.224954809913
33-17,64,176617.55107704317,172006.66607409474
33-18,61,231.45905031863572,28656.39411488011
33-18,64,188729.7684171411,160304.83335257962
33-19,61,65692.90599689275,48142.64752641287
33-19,64,253601.73087944894,271151.98934992874
33-20,61,26523.818511099016,25491.327353967223
33-20,64,142419.36753475486,143451.85869188668
33-21,61,8189.324881181566,29752.21419174855
33-21,64,190407.1956341429,168844.30632357596
33-22,61,67377.53816102665,33821.30901468874
33-22,64,158079.33838995127,191635.56753628913
33-23,61,14489.747594280318,3470.0893097912926
33-23,64,7293.880799096241,18313.539083585267
33-24,61,19312.420970933188,24535.971467963525
33-24,64,143465.5643282895,138242.0138312592
33-25,61,36553.633824890465,27574.227054458413
33-25,64,145627.25556377912,154606.66233421114
33-26,61,15687.37795599519,25594.603378671
33-26,64,151919.7410500659,142012.5156273901
33-27,61,28544.56283529846,29823.854301835232
33-27,64,169996.11666799046,168716.8252014537
33-28,61,26087.747555714366,7262.906028260618
33-28,64,25555.853380617093,24361.703595022675
33-29,61,12099.06117949123,22432.305211258557
33-29,64,137344.49461561802,127011.25058385066
33-3,61,45871.70811022583,45122.98538682653
33-3,64,246570.0571532364,247318.77987663573
33-30,61,20958.36999598737,30193.848875949458
33-30,64,176023.25721478113,166787.778334819
33-31,61,4101.828826942016,7699.031287240089
33-31,64,48167.459647961674,44570.25718766359
33-32,61,34102.558136313244,26979.466144107202
33-32,64,143405.22835059674,150528.3203428028
33-4,61,42381.97426944345,34006.69576926991
33-4,64,361895.7999784559,245875.0773549171
33-4,68,136.6766784026454,52.288566600426286
33-5,61,62523.010509693304,51310.699189193736
33-5,64,278796.94096118625,290009.2522816859
33-6,61,12895.950872190951,66599.53516894409
33-6,64,429018.84284079593,375315.2585440428
33-7,61,29292.4545914882,51447.76612383295
33-7,64,308591.2522356529,286435.94070330815
33-8,61,34050.10906673021,41553.234708212796
33-8,64,240705.9048602981,233202.77921881553
33-9,61,36717.48958486495,21178.927308780178
33-9,64,101003.1369208201,116541.69919690487
34-1,61,328.08571720577396,186.6723738317829
34-2,64,898.7698545960845,764.4200109858092
5-1,64,559.2640441221099,355.6919320616619
5-1,68,2314.922876485491,1467.5783513959018
5-12,61,1297.3494704767754,10242.66287717586
5-12,64,23994.19548835311,15002.435969210603
5-13,61,607.8607801253378,672.0670727501682
5-13,64,1061.384808342502,993.3637301767017
5-3,61,7999.632300671912,2495.8852778096366
5-4,68,12079.167426418193,7815.221324892567
5-6,61,51.95433148574298,3205.737107403198
5-6,68,10733.448833457902,7130.664763817173
6-1,64,1312.3513991231414,773.9352140497936
6-2,61,569.8626543934378,194.32316514816225
6-20,64,80.05653025822502,48.91453998777549
6-21,64,308.2335311273227,179.70014864722913
6-8,64,3185.336611581806,1904.83129372592
8-10,68,184.93294440531005,145.72716019138434
8-14,61,5345.207080371959,1261.4688709677823
8-18,68,796.2092233233225,140.1328233049047
8-26,64,6003.528784732574,2917.714989380031
8-27,68,3005.1755749199833,2370.2281150832664
8-28,68,542.7246578518233,429.8379290186441
8-29,68,1156.1797456806667,919.1628978161301
8-30,68,968.570242010775,761.528611808631
8-31,68,1934.2039108858462,1502.7988042724537
8-32,64,890.3943296827623,436.29322154455355
8-33,61,1978.6715015242276,1826.2558693857268
8-33,64,2407.6578727849246,1675.176223870144
8-33,68,13050.475245089667,13935.372526142948
8-5,68,1497.5265373827078,348.92368321017074
8-7,64,5002.35271326144,2396.1269496522305
8-8,64,318.2005486061042,182.01071380269158
9-1,61,146643.3879600507,275530.3494520376
9-1,64,525043.4337173121,394941.97393670597
9-10,61,32364.421166303346,92075.91285834137
9-10,64,194032.0885935903,133879.13038844074
9-11,61,229542.14390545743,221834.6112888347
9-11,64,315752.788022351,322536.3636945202
9-12,61,31705.9218031778,134863.65956266812
9-12,64,297763.09637405415,194086.8950427025
9-13,61,20050.3279365363,62856.77142972481
9-13,64,135698.6961405567,92583.31085708151
9-14,61,15153.275968907705,133381.92067823568
9-14,64,313646.1707813898,194647.88192334038
9-15,64,232056.00988905414,136725.3377304774
9-16,61,2972.1931832756245,81108.98856085016
9-16,64,194963.7317042685,116424.07621804264
9-17,61,90080.85947686447,66659.00194424576
9-17,64,72474.04922535135,95589.80192134409
9-18,61,8465.900800873216,16182.657664917913
9-18,64,30763.209483912913,23010.95940579648
9-19,61,7165.382095672805,89647.48852070294
9-19,64,210360.76792300856,127371.3399589297
9-2,61,27774.753702078277,134675.64292188082
9-2,64,301840.47385895695,194370.1241943034
9-20,61,3287.84907531732,122158.92880101151
9-20,64,296584.2603674716,177167.41487924187
9-21,61,1573.9896030244986,137463.3578148725
9-21,64,333203.68221403036,196770.19478118196
9-22,61,32881.582036854874,94402.90074784486
9-22,64,199173.35372493006,137322.13547210337
9-23,61,149358.7854951505,150608.7991168868
9-23,64,218752.33483183043,216834.07249964576
9-24,61,215724.73625282195,213213.01948268307
9-24,64,310320.76482466114,311855.5373221634
9-25,61,12031.177058301446,135024.04604403072
9-25,64,313167.37109554914,189597.69917664115
9-26,61,97766.71220841366,143735.05090076177
9-26,64,254250.23428320358,207569.70256087446
9-27,61,9855.881534495718,141473.8569729432
9-27,64,336425.6127872662,204263.4073562559
9-28,61,2027.590577888862,17492.412253809704
9-28,64,40328.76901464464,24810.694695145587
9-29,61,22416.85930784458,73390.73154460544
9-29,64,156995.0964032915,105596.15269873469
9-3,61,151875.94217173627,153389.50596886955
9-3,64,224905.0836580525,222610.53355125562
9-30,61,60537.46316928245,108011.96101026202
9-30,64,203018.46107205027,155166.33576707277
9-31,64,135032.55470101378,79694.64580908205
9-32,61,103185.559806853,126722.57458933025
9-32,64,205961.0763906978,181921.99489361636
9-33,61,49777.86816823599,88544.15864710222
9-33,64,166967.023738354,127833.27753933435
9-34,61,2415.3538702663454,61655.67983355242
9-34,64,179461.87822040488,89909.29281401126
9-34,68,681.0161572473356,771.8860399611684
9-35,61,500.1404350048264,60005.42219710128
9-35,64,202080.06469233244,88371.62579279866
9-35,68,283.54951595037335,1625.1008913548442
9-36,64,192147.97121372182,112776.39645720826
9-37,61,199.23312585699523,67833.1074869275
9-37,64,165834.12709063813,97871.72967835334
9-38,61,5954.40119058285,78147.49840366801
9-38,64,185884.21657612096,113283.23848267803
9-39,61,54262.019444945196,15553.032218494998
9-39,64,5512.781306776404,23003.163129480537
9-39,68,6035.973356244471,6021.378777462802
9-4,61,14401.057253350753,197504.84568754674
9-4,64,468320.84845485404,284336.15462309466
9-40,61,20799.745126232367,46263.4553545505
9-40,64,89148.93141322062,63459.26584097551
9-41,61,24242.765668371296,10204.521316998706
9-41,64,1289.0157589671471,15296.91144646425
9-42,61,8122.302744235845,195885.4527536852
9-42,64,469129.178646566,280549.61812676495
9-43,61,6904.238337986718,75275.05918935598
9-43,64,175489.0508264123,106752.12472811436
9-44,61,168134.36062076717,187596.52618260533
9-44,64,337629.6816445846,276196.65858414915
9-44,68,84.57350672293907,826.5933575233346
9-45,61,13499.021134110999,164958.09837888542
9-45,64,392686.55998052564,240568.425311588
9-46,61,135404.2558355598,180896.6245507785
9-46,64,309011.80572581594,262675.3155893191
9-47,61,41086.69562446052,91373.68841622626
9-47,64,181871.4730045479,131168.8022688176
9-48,61,71311.741188673,216110.91300802512
9-48,64,458965.57140141993,313157.6040514391
9-49,61,57972.88413479894,163914.73163941293
9-49,64,342146.71044312237,235490.93862523188
9-5,61,48926.77853518578,196007.88371373178
9-5,64,427584.56547175295,279608.0520860082
9-50,61,30551.743500603225,71343.51994143213
9-50,64,141430.57558793665,101641.75088569507
9-50,68,1291.332403888449,288.38066530112786
9-51,61,85188.35471331122,140417.14251148002
9-51,64,260638.89901529864,204729.9989588627
9-52,61,19644.43431662924,79362.23927964423
9-52,64,174105.54062969875,114010.49421445117
9-53,61,80385.97593397553,133025.977583912
9-53,64,244679.25201835344,193654.3853396422
9-53,68,2197.967315200978,582.8323439756854
9-54,61,61201.7922335663,119018.44161867707
9-54,64,227808.40658867802,169451.46748141124
9-55,61,100511.71061575736,126717.51126986877
9-55,64,208464.82259281454,181618.41782557467
9-56,61,150949.66139244716,154323.13368506506
9-56,64,226388.21660959357,222368.27296731112
9-57,61,56503.30918430301,208517.20678209802
9-57,64,452986.12358087447,299949.2894953588
9-58,61,54789.64810677487,122347.04721496873
9-58,64,422892.95700387843,153439.40202352792
9-58,68,4858.843024778264,3316.09162459418
9-59,61,117103.24339465758,130774.94126596322
9-59,64,202855.82278854796,188647.36111388213
9-6,61,31685.58590815267,86226.45230553781
9-6,64,180815.37535770913,125927.1029904286
9-60,61,4.199993254483547,161915.54830572216
9-60,64,395701.4624508359,233087.91739567937
9-61,61,2580.6019571273464,78006.42320265083
9-61,64,188375.9197738508,112657.79985248763
9-62,61,88622.71564939247,99830.60605108933
9-62,64,155661.7613621048,144035.1973863999
9-62,68,5.131490080738223,423.80506408882303
9-63,61,12046.873158146875,79897.04705448917
9-63,64,183212.24526556546,115136.8547572399
9-64,61,116514.87256590411,104225.86176861705
9-64,64,177641.649089415,138800.62303796055
9-64,68,715.7825874664971,866.3452070283852
9-65,61,86748.5416474125,155608.4754969951
9-65,64,294558.46739968506,224965.21830736383
9-66,61,49537.692503736886,132589.3424565242
9-66,64,274443.31944200833,190787.9264694483
9-67,61,42352.51298396868,83577.24809639233
9-67,64,161586.3637353151,119930.41745350108
9-68,61,154033.7667182445,221594.3352295183
9-68,64,387701.5087687729,322167.14499994525
9-68,68,2900.2218464047864,874.0171039587077
9-69,64,102843.59785104773,75098.9058411748
9-69,68,37826.987769431944,536.8294104911134
9-7,61,90579.7253460466,173711.58140494025
9-7,64,333923.02860968316,249989.49887264887
9-70,61,108048.65994079725,152275.2705846563
9-70,64,265243.1713381161,220317.6465939764
9-71,61,75342.34231493063,83682.24673938948
9-71,64,129972.04375641956,121237.87480499862
9-8,61,110326.13490543209,194008.1167845757
9-8,64,365733.29327616375,281212.6918669691
9-9,61,153141.01929612306,251476.0703874099
9-9,64,462408.8577057551,362906.9585199726
99-99,64,6603.4289069993565,4985.588824784515
99-99,68,6603.4289069993565,8089.200411074211
